O,C,E,A,N,Cluster
30.0,28.0,32.0,32.0,38.0,Education & Social Work
33.0,35.0,37.0,35.0,37.0,"Sales, Marketing & Management"
30.0,27.0,29.0,32.0,32.0,Education & Social Work
36.0,34.0,26.0,22.0,17.0,Suitable for any job
32.0,32.0,30.0,33.0,26.0,"Sales, Marketing & Management"
40.0,35.0,34.0,35.0,40.0,"Sales, Marketing & Management"
34.0,40.0,30.0,32.0,39.0,"Sales, Marketing & Management"
37.0,37.0,29.0,32.0,24.0,Education & Social Work
34.0,28.0,30.0,27.0,33.0,Suitable for any job
33.0,31.0,30.0,30.0,30.0,"Sales, Marketing & Management"
33.0,32.0,36.0,29.0,30.0,Suitable for any job
28.0,31.0,29.0,32.0,33.0,Suitable for any job
37.0,32.0,29.0,33.0,37.0,Education & Social Work
32.0,24.0,34.0,32.0,18.0,Education & Social Work
32.0,28.0,34.0,29.0,32.0,Suitable for any job
35.0,33.0,29.0,29.0,31.0,Suitable for any job
35.0,24.0,31.0,31.0,27.0,Education & Social Work
30.0,26.0,26.0,34.0,32.0,Education & Social Work
27.0,30.0,29.0,31.0,26.0,Suitable for any job
24.0,32.0,26.0,28.0,30.0,Suitable for any job
34.0,30.0,29.0,28.0,22.0,Suitable for any job
35.0,45.0,27.0,26.0,25.0,Suitable for any job
28.0,29.0,30.0,32.0,20.0,Suitable for any job
28.0,32.0,33.0,31.0,30.0,"Sales, Marketing & Management"
29.0,32.0,31.0,30.0,37.0,"Sales, Marketing & Management"
36.0,33.0,31.0,33.0,25.0,"Sales, Marketing & Management"
34.0,41.0,34.0,32.0,39.0,"Sales, Marketing & Management"
35.0,32.0,30.0,32.0,27.0,"Sales, Marketing & Management"
23.0,24.0,24.0,34.0,32.0,Suitable for any job
22.0,31.0,27.0,35.0,36.0,Suitable for any job
39.0,34.0,30.0,35.0,33.0,"Sales, Marketing & Management"
32.0,26.0,28.0,28.0,25.0,Suitable for any job
35.0,33.0,31.0,31.0,34.0,"Sales, Marketing & Management"
34.0,27.0,31.0,31.0,26.0,Education & Social Work
29.0,30.0,26.0,27.0,30.0,Suitable for any job
30.0,27.0,32.0,31.0,33.0,Education & Social Work
36.0,32.0,34.0,33.0,26.0,"Sales, Marketing & Management"
33.0,25.0,31.0,38.0,40.0,Education & Social Work
34.0,36.0,36.0,38.0,42.0,"Sales, Marketing & Management"
34.0,28.0,32.0,31.0,31.0,Education & Social Work
34.0,27.0,32.0,36.0,26.0,Education & Social Work
26.0,32.0,26.0,33.0,37.0,Suitable for any job
26.0,30.0,34.0,32.0,31.0,"Sales, Marketing & Management"
31.0,29.0,27.0,29.0,31.0,Suitable for any job
37.0,33.0,34.0,38.0,42.0,"Sales, Marketing & Management"
27.0,32.0,29.0,27.0,29.0,Suitable for any job
